Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance(parsec),Distance(meters),luminosity(watts),Luminosity(Solar)
5186.026028,2.00E-12,0.00979999,102.0409204,3.14898E+18,2.49E+26,6.48E-01
5183.168502,1.46E-12,0.0116053,86.16752691,2.65913E+18,1.30E+26,3.38E-01
5178.490997,2.62E-11,0.0118226,84.5837633,2.61025E+18,2.24E+27,5.83E+00
5163.961347,1.54E-12,0.0106931,93.51825009,2.88597E+18,1.61E+26,4.18E-01
5157.459292,1.37E-12,0.00945229,105.7944689,3.26482E+18,1.83E+26,4.76E-01
5147.6724,1.41E-12,0.00891908,112.1191872,3.46E+18,2.12E+26,5.52E-01
5143.984203,1.32E-12,0.00849757,117.6807017,3.63163E+18,2.19E+26,5.68E-01
5137.771191,1.42E-12,0.00915113,109.2761222,3.37226E+18,2.02E+26,5.26E-01
5133.950003,1.95E-12,0.011013,90.80177971,2.80214E+18,1.92E+26,5.00E-01
5131.178576,1.37E-12,0.00986441,101.3745374,3.12842E+18,1.68E+26,4.37E-01
5126.716784,1.91E-12,0.0111372,89.78917502,2.77089E+18,1.84E+26,4.79E-01
5126.555421,1.81E-12,0.0085284,117.2552882,3.6185E+18,2.97E+26,7.72E-01
5123.848027,1.33E-12,0.0100943,99.06580942,3.05717E+18,1.56E+26,4.05E-01
5123.066338,2.00E-12,0.00968892,103.2106778,3.18508E+18,2.55E+26,6.64E-01
5121.379473,1.70E-12,0.00981649,101.8694055,3.14369E+18,2.11E+26,5.49E-01
5119.957882,1.80E-12,0.00894956,111.7373368,3.44821E+18,2.69E+26,7.00E-01
5115.175958,1.45E-12,0.00795362,125.7289134,3.87999E+18,2.75E+26,7.15E-01
5113.146374,1.31E-12,0.00927037,107.8705596,3.32889E+18,1.82E+26,4.73E-01
5110.309778,1.26E-12,0.00982214,101.810807,3.14188E+18,1.56E+26,4.06E-01
5109.090991,1.98E-12,0.00990726,100.9360812,3.11489E+18,2.41E+26,6.26E-01
